common_name,Scientific name,Classification,Habitat,Diet,Lifespan,Image_path,Description,
Snow Leopard,Panthera uncia,Mammal,Mountains,Carnivore,10-12 years,./static/images/Snow Leopard.jpg,Elusive big cat.,
Cheetah,Acinonyx jubatus,Mammal,Africa,Carnivore,10-12 years,./static/images/Cheetah.jpg,Fastest land animal.,
Jaguar,Panthera onca,Mammal,Americas,Carnivore,12-15 years,./static/images/Jaguar.jpg,Powerful big cat.,
Leopard,Panthera pardus,Mammal,Africa/Asia,Carnivore,12-17 years,./static/images/Leopard.jpg,Spotted big cat.,
Cougar,Puma concolor,Mammal,Americas,Carnivore,8-13 years,./static/images/Cougar.jpg,Also known as mountain lion.,
Lynx,Lynx,Mammal,Northern Hemisphere,Carnivore,10-15 years,./static/images/Lynx.jpg,Tufted ears.,
Caracal,Caracal caracal,Mammal,Africa/Asia,Carnivore,10-12 years,./static/images/Caracal.jpg,Tufted ears.,
Serval,Leptailurus serval,Mammal,Africa,Carnivore,10-12 years,./static/images/Serval.jpg,Long legs.,
Ocelot,Leopardus pardalis,Mammal,Americas,Carnivore,10-13 years,./static/images/Ocelot.jpg,Spotted cat.,
Margay,Leopardus wiedii,Mammal,Americas,Carnivore,10-13 years,./static/images/Margay.jpg,Arboreal cat.,
Fishing Cat,Prionailurus viverrinus,Mammal,Asia,Carnivore,10-12 years,./static/images/Fishing Cat.jpg,Lives near water.,
Sand Cat,Felis margarita,Mammal,Deserts,Carnivore,10-13 years,./static/images/Sand Cat.jpg,Adapted to desert.,
Black-footed Cat,Felis nigripes,Mammal,Africa,Carnivore,5-7 years,./static/images/Black-footed Cat.jpg,Smallest African wild cat.,
European Wildcat,Felis silvestris silvestris,Mammal,Europe,Carnivore,10-12 years,./static/images/European Wildcat.jpg,Wild cat.,
Domestic Cat,Felis catus,Mammal,Worldwide,Carnivore,12-15 years,./static/images/Domestic Cat.jpg,Domesticated cat.,
Wolf,Canis lupus,Mammal,Worldwide,Carnivore,6-8 years,./static/images/Wolf.jpg,Canine predator.,
Dog,Canis familiaris,Mammal,Worldwide,Omnivore,10-13 years,./static/images/Dog.jpg,Domesticated canine.,
Fox,Vulpes vulpes,Mammal,Worldwide,Omnivore,5-7 years,./static/images/Fox.jpg,Canine.,
Jackal,Canis aureus,Mammal,Africa/Asia,Omnivore,6-9 years,./static/images/Jackal.jpg,Canine.,
Coyote,Canis latrans,Mammal,North America,Omnivore,10-14 years,./static/images/Coyote.jpg,Canine.,
African Wild Dog,Lycaon pictus,Mammal,Africa,Carnivore,10-12 years,./static/images/African Wild Dog.jpg,Endangered canine.,
Dhole,Cuon alpinus,Mammal,Asia,Carnivore,8-10 years,./static/images/Dhole.jpg,Wild dog.,
Raccoon,Procyon lotor,Mammal,North America,Omnivore,5-7 years,./static/images/Raccoon.jpg,Nocturnal mammal.,
Bear,Ursidae,Mammal,Worldwide,Omnivore,20-30 years,./static/images/Bear.jpg,Large mammal.,
Brown Bear,Ursus arctos,Mammal,North America/Europe/Asia,Omnivore,20-30 years,./static/images/Brown Bear.jpg,Large bear.,
Grizzly Bear,Ursus arctos horribilis,Mammal,North America,Omnivore,20-30 years,./static/images/Grizzly Bear.jpg,Large bear.,
Black Bear,Ursus americanus,Mammal,North America,Omnivore,20-30 years,./static/images/Black Bear.jpg,Bear.,
Polar Bear,Ursus maritimus,Mammal,Arctic,Carnivore,15-18 years,./static/images/Polar Bear.jpg,Arctic predator.,
Sun Bear,Helarctos malayanus,Mammal,Southeast Asia,Omnivore,20-25 years,./static/images/Sun Bear.jpg,Smallest bear.,
Asiatic Black Bear,Ursus thibetanus,Mammal,Asia,Omnivore,20-25 years,./static/images/Asiatic Black Bear.jpg,Bear.,
Sloth Bear,Melursus ursinus,Mammal,Asia,Omnivore,20-25 years,./static/images/Sloth Bear.jpg,Bear.,
Spectacled Bear,Tremarctos ornatus,Mammal,South America,Omnivore,20-25 years,./static/images/Spectacled Bear.jpg,Bear.,
Giant Panda,Ailuropoda melanoleuca,Mammal,China,Herbivore,20-30 years,./static/images/Giant Panda.jpg,Endangered bear.,
Red Panda,Ailurus fulgens,Mammal,Asia,Omnivore,8-10 years,./static/images/Red Panda.jpg,Arboreal mammal.,
White Rhinoceros,Ceratotherium simum,Mammal,Grasslands/Savannas,Herbivore,40-50 years,./static/images/White Rhinoceros.jpg,Large herbivore with two horns.,
Hippopotamus,Hippopotamus amphibius,Mammal,Rivers/Lakes,Herbivore,40-50 years,./static/images/Hippopotamus.jpg,Semi-aquatic aggressive.,
Platypus,Ornithorhynchus anatinus,Mammal,Freshwater,Carnivore,10-15 years,./static/images/Platypus.jpg,Egg-laying mammal”.,
Komodo Dragon,Varanus komodoensis,Reptile,Indonesian Islands,Carnivore,Up to 30 years,./static/images/Komodo Dragon.jpg,Largest lizard.,
Bald Eagle,Haliaeetus leucocephalus,Bird,North America,Carnivore,20-30 years,./static/images/Bald Eagle.jpg,National bird of the USA.,
Poison Dart Frog,Dendrobatidae,Amphibian,Rainforests,Carnivore,10-15 years,./static/images/Poison Dart Frog.jpg,Brightly colored and toxic,
Moose,Alces alces,Mammal,Forests,Herbivore,15-25 years,./static/images/Moose.jpg,Largest deer species.,
Okapi,Okapia johnstoni,Mammal,Rainforests,Herbivore,20-30 years,./static/images/Okapi.jpg,Relative of the giraffe.,
Tasmanian Devil,Sarcophilus harrisii,Mammal,Tasmania,Carnivore,5-8 years,./static/images/Tasmanian Devil.jpg,Nocturnal mars.,
Andean Condor,Vultur gryphus,Bird,Mountains,Scavenger,50-70 years,./static/images/Andean Condor.jpg,Largest flying bird by wingspan .,
Bee Hummingbird,Mellisuga helenae,Bird,Cuba,Nectarivore,5-7 years,./static/images/Bee Hummingbird.jpg,Smallest bird .,
Cassowary,Casuarius,Bird,Australia/New Guinea,Omnivore,40-50 years,./static/images/Cassowary.jpg,Large flightless bird.,
Hoatzin,Opisthocomus hoazin,Bird,Rainforests,Herbivore,15-20 years,./static/images/Hoatzin.jpg,Smells like manure due to diet.,
Kakapo,Strigops habroptilus,Bird,New Zealand,Herbivore,60-90 years,./static/images/Kakapo.jpg,Flightless nocturnal parrot.,
Lyrebird,Menura,Bird,Australia,Omnivore,15-20 years,./static/images/Lyrebird.jpg,Mimics sounds.,
Peacock,Pavo cristatus,Bird,Grasslands,Omnivore,15-20 years,./static/images/Peacock.jpg,Iridescent plumage.,
Secretary Bird,Sagittarius serpentarius,Bird,Savannah,Carnivore,10-15 years,./static/images/Secretary Bird.jpg,Hunts snakes Shoebill.,
Stork,Balaeniceps rex,Bird,Wetlands,Carnivore,35-50 years,./static/images/Stork.jpg,Large bird with a shoe-shaped bill.,
Snowy Owl,Bubo scandiacus,Bird,Arctic,Carnivore,10-15 years,./static/images/Snowy Owl.jpg,White owl species.,
Toucan,Ramphastos,Bird,Tropical Forests,Frugivore,15-20 years,./static/images/Toucan.jpg,Colorful beak Harpy.,
Eagle,Harpia harpyja,Bird,Rainforests,Carnivore,25-35 years,./static/images/Eagle.jpg,Powerful raptor.,
Bald Eagle,Haliaeetus leucocephalus,Bird,North America,Carnivore,20-30 years,./static/images/Bald Eagle.jpg,National bird of the USA King.,
Cobra,Ophiophagus hannah,Reptile,Jungles,Carnivore,20 years,./static/images/Cobra.jpg,Longest venomous snake.,
Chameleon,Chamaeleonidae,Reptile,Forests/Deserts,Insectivore,2-3 years,./static/images/Chameleon.jpg,Color-changing reptile Komodo.,
Dragon,Varanus komodoensis,Reptile,Indonesian Islands,Carnivore,Up to 30 years,./static/images/Dragon.jpg,Largest lizard.,
Sea Turtle,Chelonia mydas,Reptile,Oceans,Herbivore/Omnivore,Up to 100 years,./static/images/Sea Turtle.jpg,Marine reptile Manta.,
Ray,Mobula,Mollusk,Oceans,Planktivore,40-50 years,./static/images/Ray.jpg,Largest ray species Blue-Ringed.,
Octopus,Thaumoctopus mimicus,Mollusk,Oceans,Carnivore,1-2 years,./static/images/Octopus.jpg,Can imitate other sea creatures.,
Nautilus,Nautilidae,Mollusk,Deep Ocean,Carnivore,15-20 years,./static/images/Nautilus.jpg,Ancient shelled cephalopod.,
Giant Squid,Architeuthis dux,Mollusk,Deep Ocean,Carnivore,Unknown,./static/images/Giant Squid.jpg,Largest invertebrate.,
Starfish,Asteroidea,Echinoderm,Oceans,Carnivore,Up to 35 years,./static/images/Starfish.jpg,Five-armed invertebrate.,
Jellyfish,Scyphozoa,Cnidarian,Oceans,Carnivore,——,./static/images/Beetle.jpg,Stinging marine animal Goliath.,
Beetle,Goliathus goliatus,Insect,Rainforests,Omnivore,3-6 months,./static/images/Beetle.jpg,Largest beetle species Atlas.,
Moth,Attacus atlas,Insect,Tropical Forests,Herbivore,1-2 weeks,./static/images/Moth.jpg,One of the largest moths Orchid.,
Mantis,Hymenopus coronatus,Insect,Rainforests,Carnivore,6-12 months,./static/images/Mantis.jpg,Mimics flowers Giant.,
Weta,Deinacrida,Insect,New Zealand,Herbivore,1-2 years,./static/images/Weta.jpg,Heavy insect cannot fly.,
Bullet Ant,Paraponera clavata,Insect,Rainforests,Omnivore,90 days,./static/images/Bullet Ant.jpg,Painful sting Japanese Spider.,
Crab,Macrocheira kaempferi,Arachnid,Ocean Floor,Omnivore,50+ years,./static/images/Crab.jpg,Largest leg span of any arthropod Mantis.,
Shrimp,Stomatopoda,Crustacean,Oceans,Carnivore,3-6 years,./static/images/Shrimp.jpg,Powerful punch.,
Ammonite,Ammonoidea,Extinct,Various Marine,Carnivore,——,./static/images/Ammonite.jpg,Extinct cephalopod with coiled shell.,
Dodo,Raphus cucullatus,Extinct,Mauritius,Omnivore,——,./static/images/Dodo.jpg,Flightless bird Tasmanian.,
Mammoth,Mammuthus primigenius,Extinct,Various,Herbivore,——,./static/images/Mammoth.jpg,Large hairy elephant.,
Pterodactyl,Pterodactyloidea,Extinct,Various,Carnivore,——,./static/images/Pterodactyl.jpg,Flying reptile.,
Trilobite,Trilobita,Extinct,Various Marine,Various,——,./static/images/Trilobite.jpg,Extinct arthropod.,
