common_name,Scientific name,Classification,Habitat,Diet,Lifespan,Description
Dragon,Varanus komodoensis,Reptile,Indonesian Islands,Carnivore,Up to 30 years,Largest lizard.
Sea Turtle,Chelonia mydas,Reptile,Oceans,Herbivore/Omnivore,Up to 100 years,Marine reptile Manta.
Ray,Mobula,Mollusk,Oceans,Planktivore,40-50 years,Largest ray species Blue-Ringed.
Octopus,Hapalochlaena,Mollusk,Oceans,Carnivore,2-3 years,Highly venomous small octopus Mimic.
Octopus,Thaumoctopus mimicus,Mollusk,Oceans,Carnivore,1-2 years,Can imitate other sea creatures.
Nautilus,Nautilidae,Mollusk,Deep Ocean,Carnivore,15-20 years,Ancient shelled cephalopod.
Octopus,Octopus vulgaris,Mollusk,Oceans,Carnivore,1-2 years,Intelligent invertebrate.
Giant Squid,Architeuthis dux,Mollusk,Deep Ocean,Carnivore,Unknown,Largest invertebrate.
Starfish,Asteroidea,Echinoderm,Oceans,Carnivore,Up to 35 years,Five-armed invertebrate.
Jellyfish,Scyphozoa,Cnidarian,Oceans,Carnivore,——,Stinging marine animal Goliath.
Beetle,Goliathus goliatus,Insect,Rainforests,Omnivore,3-6 months,Largest beetle species Atlas.
Moth,Attacus atlas,Insect,Tropical Forests,Herbivore,1-2 weeks,One of the largest moths Orchid.
Mantis,Hymenopus coronatus,Insect,Rainforests,Carnivore,6-12 months,Mimics flowers Giant.
Weta,Deinacrida,Insect,New Zealand,Herbivore,1-2 years,Heavy insect cannot fly.
Bullet Ant,Paraponera clavata,Insect,Rainforests,Omnivore,90 days,Painful sting Japanese Spider.
Crab,Macrocheira kaempferi,Arachnid,Ocean Floor,Omnivore,50+ years,Largest leg span of any arthropod Mantis.
Shrimp,Stomatopoda,Crustacean,Oceans,Carnivore,3-6 years,Powerful punch.
Ammonite,Ammonoidea,Extinct,Various Marine,Carnivore,——,Extinct cephalopod with coiled shell.
Dodo,Raphus cucullatus,Extinct,Mauritius,Omnivore,——,Flightless bird Tasmanian.
Tiger,Thylacinus cynocephalus,Extinct,Tasmania,Carnivore,——,Marsupial wolf Woolly.
Mammoth,Mammuthus primigenius,Extinct,Various,Herbivore,——,Large hairy elephant.
Pterodactyl,Pterodactyloidea,Extinct,Various,Carnivore,——,Flying reptile.
Trilobite,Trilobita,Extinct,Various Marine,Various,——,Extinct arthropod.
